id,bhk,property_type,sharing_type,gender_preference,location,area,,furnished,ac,fridge,washing_machine,geyser,wifi,water_24h,parking,cooking_allowed,light_bill_included,full_rent
809,1BHK,Room,Full,Boys,Sector 5A,Gandhinagar,,Semi,No,No,No,No,No,Yes,Yes,Yes,No,12000
810,1BHK,Tenament,Full,Family,Vavol,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,12000
811,3BHK,Room,Full,Boys,Vavol,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,20000
812,3BHK,Tenament,Full,Any,Sector 3,Gandhinagar,,Fully,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,17000
813,2BHK,Flat,Sharing,Family,Sector 2,Gandhinagar,,Semi,No,No,Yes,Yes,Yes,Yes,No,Yes,No,18000
814,2BHK,Flat,Full,Boys,Sector 13,Gandhinagar,,Semi,No,No,Yes,Yes,No,Yes,Yes,Yes,No,11000
815,3BHK,Room,Sharing,Family,Sector 6,Gandhinagar,,Fully,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,28000
816,3BHK,Tenament,Sharing,Boys,Sector 3,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,19000
817,3BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,Yes,Yes,Yes,41000
818,3BHK,Flat,Sharing,Any,Sector 6,Gandhinagar,,Semi,No,No,No,No,No,Yes,No,Yes,Yes,23000
819,3BHK,House,Sharing,Any,Sector 6,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,28000
820,2BHK,Tenament,Sharing,Boys,Sector 6,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,17000
821,3BHK,Flat,Sharing,Any,Infocity,Gandhinagar,,Fully,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,36000
822,1BHK,House,Sharing,Girls,Sector 13,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,8000
823,2BHK,Tenament,Sharing,Family,Sector 6,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,18000
824,3BHK,House,Full,Boys,Raysan,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,35000
825,2BHK,House,Full,Family,Kudasan,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,Yes,Yes,No,27000
826,3BHK,House,Sharing,Family,Infocity,Gandhinagar,,Basic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,43000
827,3BHK,Flat,Full,Girls,Sector 13,Gandhinagar,,Basic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,17000
828,2BHK,Room,Full,Any,Sector 2,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,24000
829,2BHK,Room,Sharing,Any,Sector 13,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,No,Yes,No,11000
830,2BHK,Flat,Sharing,Boys,Kudasan,Gandhinagar,,Semi,Yes,No,No,No,Yes,Yes,No,Yes,Yes,22000
831,2BHK,House,Full,Family,Sector 13,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,11000
832,3BHK,Tenament,Full,Family,Sector 2,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,27000
833,2BHK,Tenament,Sharing,Girls,Sector 6,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,Yes,20000
834,2BHK,House,Sharing,Any,Vavol,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,Yes,14000
835,3BHK,Tenament,Full,Any,Raysan,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,No,Yes,Yes,27000
836,3BHK,House,Sharing,Boys,Sector 6,Gandhinagar,,Fully,Yes,No,No,No,Yes,Yes,Yes,Yes,No,24000
837,2BHK,House,Full,Family,Infocity,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,31000
838,2BHK,Tenament,Full,Any,Sector 5A,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,No,Yes,No,16000
839,3BHK,Tenament,Full,Family,Infocity,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,No,36000
840,1BHK,House,Full,Girls,Sector 3,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,8000
841,3BHK,Room,Sharing,Girls,Sector 2,Gandhinagar,,Fully,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,33000
842,1BHK,House,Sharing,Any,Vavol,Gandhinagar,,Basic,No,No,No,No,Yes,Yes,No,Yes,Yes,11000
843,3BHK,House,Sharing,Family,Sector 6,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,24000
844,3BHK,Flat,Sharing,Any,Kudasan,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,36000
845,2BHK,House,Sharing,Boys,Sargasan,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,25000
846,2BHK,House,Sharing,Boys,Sector 5A,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,No,Yes,No,14000
847,1BHK,House,Sharing,Boys,Infocity,Gandhinagar,,Semi,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,18000
848,2BHK,House,Full,Boys,Sector 13,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,13000
849,3BHK,Room,Sharing,Any,Infocity,Gandhinagar,,Basic,No,No,No,No,No,Yes,Yes,Yes,Yes,41000
850,2BHK,Flat,Sharing,Family,Sector 2,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,No,Yes,No,20000
851,3BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,35000
852,3BHK,House,Full,Girls,Vavol,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21000
853,3BHK,Room,Sharing,Any,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39000
854,1BHK,Flat,Sharing,Any,Sector 3,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,No,8000
855,1BHK,Flat,Full,Boys,Kudasan,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,No,Yes,No,17000
856,2BHK,Room,Sharing,Any,Sector 13,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,11000
857,1BHK,Flat,Full,Boys,Sector 3,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10000
858,2BHK,Tenament,Full,Any,Sector 3,Gandhinagar,,Semi,No,No,No,Yes,Yes,Yes,No,Yes,Yes,14000
859,1BHK,House,Sharing,Family,Sector 2,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,16000
860,1BHK,Tenament,Sharing,Girls,Raysan,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,13000
861,3BHK,Room,Full,Family,Kudasan,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,No,Yes,No,37000
862,2BHK,House,Sharing,Family,Sector 3,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,15000
863,2BHK,House,Sharing,Any,Sargasan,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,No,Yes,No,25000
864,2BHK,Tenament,Sharing,Girls,Kudasan,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,No,28000
865,2BHK,House,Sharing,Boys,Sector 3,Gandhinagar,,Basic,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,12000
866,2BHK,House,Full,Any,Sector 6,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,17000
867,2BHK,Tenament,Sharing,Family,Sector 13,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,9000
868,2BHK,Flat,Full,Boys,Sector 6,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,17000
869,3BHK,House,Full,Any,Infocity,Gandhinagar,,Semi,No,No,No,No,Yes,Yes,No,Yes,Yes,36000
870,3BHK,Flat,Sharing,Boys,Sargasan,Gandhinagar,,Semi,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33000
871,3BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Semi,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,32000
872,1BHK,Flat,Sharing,Boys,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,15000
873,2BHK,Flat,Full,Family,Sargasan,Gandhinagar,,Basic,No,No,Yes,No,No,Yes,No,Yes,Yes,26000
874,2BHK,House,Full,Any,Vavol,Gandhinagar,,Semi,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,18000
875,3BHK,House,Full,Family,Sector 2,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,No,26000
876,3BHK,Tenament,Sharing,Boys,Raysan,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,29000
877,2BHK,House,Sharing,Any,Infocity,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,30000
878,3BHK,Flat,Sharing,Girls,Infocity,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,43000
879,2BHK,Room,Sharing,Any,Sector 5A,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,No,Yes,No,17000
880,1BHK,Room,Full,Boys,Vavol,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,8000
881,3BHK,House,Sharing,Any,Sector 3,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,No,Yes,No,19000
882,3BHK,Flat,Full,Family,Vavol,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,No,Yes,No,18000
883,3BHK,House,Full,Any,Sector 5A,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,No,24000
884,3BHK,Flat,Sharing,Girls,Infocity,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,37000
885,1BHK,Tenament,Sharing,Family,Sector 6,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,11000
886,2BHK,Room,Sharing,Boys,Sargasan,Gandhinagar,,Basic,Yes,No,No,No,No,Yes,No,Yes,Yes,28000
887,3BHK,Tenament,Sharing,Girls,Sector 3,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,Yes,Yes,No,17000
888,3BHK,Room,Sharing,Boys,Sargasan,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,No,Yes,No,40000
889,1BHK,Tenament,Full,Family,Sector 2,Gandhinagar,,Fully,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,13000
890,2BHK,Tenament,Full,Family,Sector 13,Gandhinagar,,Fully,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,13000
891,1BHK,Room,Sharing,Boys,Infocity,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,No,Yes,No,22000
892,2BHK,Room,Full,Any,Sector 13,Gandhinagar,,Basic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,11000
893,3BHK,Flat,Sharing,Girls,Sector 6,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,27000
894,2BHK,Tenament,Sharing,Any,Kudasan,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,21000
895,2BHK,Flat,Sharing,Girls,Sector 3,Gandhinagar,,Semi,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,12000
896,2BHK,Flat,Full,Family,Sector 6,Gandhinagar,,Fully,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,21000
897,2BHK,House,Sharing,Any,Sector 6,Gandhinagar,,Fully,Yes,Yes,No,No,Yes,Yes,No,Yes,No,15000
898,2BHK,Room,Full,Any,Kudasan,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,25000
899,2BHK,House,Full,Any,Sector 3,Gandhinagar,,Semi,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,14000
900,3BHK,Room,Sharing,Family,Sector 6,Gandhinagar,,Semi,No,No,No,No,No,Yes,Yes,Yes,Yes,26000
901,3BHK,Tenament,Full,Girls,Sector 3,Gandhinagar,,Fully,No,No,No,Yes,Yes,Yes,No,Yes,No,16000
902,3BHK,House,Sharing,Girls,Kudasan,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,38000
903,2BHK,Room,Sharing,Girls,Sector 13,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,13000
904,3BHK,Room,Full,Boys,Sector 5A,Gandhinagar,,Basic,Yes,No,No,Yes,No,Yes,Yes,Yes,No,24000
905,2BHK,Flat,Sharing,Family,Kudasan,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,No,Yes,Yes,21000
906,2BHK,House,Full,Any,Kudasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,28000
907,1BHK,Flat,Full,Boys,Sector 2,Gandhinagar,,Basic,No,Yes,No,No,No,Yes,No,Yes,Yes,14000
908,1BHK,Flat,Full,Girls,Infocity,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,No,Yes,Yes,16000
909,1BHK,House,Full,Family,Sector 6,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,No,Yes,No,13000
910,3BHK,House,Full,Girls,Sector 6,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25000
911,3BHK,Tenament,Sharing,Family,Kudasan,Gandhinagar,,Fully,Yes,No,Yes,No,No,Yes,No,Yes,Yes,29000
912,1BHK,Tenament,Full,Girls,Sargasan,Gandhinagar,,Semi,No,Yes,No,No,No,Yes,Yes,Yes,Yes,19000
913,1BHK,House,Full,Boys,Kudasan,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,17000
914,3BHK,Flat,Full,Boys,Infocity,Gandhinagar,,Basic,No,No,Yes,No,No,Yes,Yes,Yes,Yes,44000
915,3BHK,Room,Sharing,Any,Raysan,Gandhinagar,,Fully,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,28000
916,3BHK,House,Full,Any,Sargasan,Gandhinagar,,Basic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,35000
917,2BHK,Flat,Sharing,Family,Vavol,Gandhinagar,,Fully,No,No,Yes,No,Yes,Yes,Yes,Yes,No,17000
918,2BHK,House,Sharing,Family,Raysan,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,Yes,Yes,No,23000
919,2BHK,Flat,Sharing,Girls,Sector 6,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,21000
920,3BHK,Tenament,Full,Any,Sector 6,Gandhinagar,,Fully,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,22000
921,3BHK,Tenament,Sharing,Any,Sector 13,Gandhinagar,,Fully,Yes,No,No,Yes,No,Yes,No,Yes,Yes,17000
922,2BHK,Room,Full,Family,Sector 6,Gandhinagar,,Semi,Yes,No,No,No,Yes,Yes,Yes,Yes,No,19000
923,3BHK,Room,Sharing,Any,Sargasan,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32000
924,3BHK,House,Sharing,Family,Sector 2,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,32000
925,1BHK,Flat,Sharing,Any,Sargasan,Gandhinagar,,Basic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,15000
926,3BHK,Tenament,Full,Any,Sargasan,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,36000
927,3BHK,Flat,Sharing,Any,Kudasan,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,37000
928,3BHK,House,Sharing,Any,Sector 6,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,No,Yes,No,27000
929,2BHK,Tenament,Sharing,Boys,Sector 3,Gandhinagar,,Semi,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,12000
930,2BHK,Tenament,Full,Any,Sector 3,Gandhinagar,,Semi,No,Yes,No,No,Yes,Yes,Yes,Yes,No,15000
931,3BHK,Room,Full,Boys,Kudasan,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,Yes,Yes,No,36000
932,2BHK,Room,Full,Boys,Sector 5A,Gandhinagar,,Basic,No,No,No,No,No,Yes,No,Yes,Yes,19000
933,2BHK,Tenament,Full,Girls,Raysan,Gandhinagar,,Semi,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,25000
934,2BHK,Tenament,Sharing,Family,Sargasan,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,No,Yes,Yes,30000
935,2BHK,Room,Full,Girls,Sector 5A,Gandhinagar,,Basic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,16000
936,1BHK,Room,Full,Girls,Raysan,Gandhinagar,,Basic,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,13000
937,2BHK,Tenament,Full,Family,Sector 3,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,12000
938,2BHK,House,Full,Family,Raysan,Gandhinagar,,Semi,Yes,No,No,Yes,Yes,Yes,No,Yes,No,22000
939,3BHK,Tenament,Full,Boys,Sector 2,Gandhinagar,,Semi,Yes,Yes,No,No,No,Yes,No,Yes,No,29000
940,3BHK,House,Full,Girls,Infocity,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,45000
941,1BHK,House,Sharing,Girls,Sector 2,Gandhinagar,,Fully,No,No,Yes,Yes,Yes,Yes,No,Yes,No,11000
942,3BHK,House,Sharing,Any,Sector 2,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,No,29000
943,2BHK,Room,Full,Family,Infocity,Gandhinagar,,Basic,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,30000
944,2BHK,House,Sharing,Girls,Sargasan,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,25000
945,1BHK,House,Sharing,Family,Sector 2,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,14000
946,2BHK,Tenament,Full,Boys,Sector 2,Gandhinagar,,Semi,Yes,No,No,No,Yes,Yes,Yes,Yes,No,22000
947,2BHK,Tenament,Sharing,Boys,Sector 5A,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,15000
948,1BHK,Tenament,Full,Boys,Sargasan,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,17000
949,1BHK,Room,Sharing,Any,Raysan,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,No,Yes,No,13000
950,1BHK,Tenament,Sharing,Family,Sector 6,Gandhinagar,,Basic,No,No,No,Yes,No,Yes,No,Yes,Yes,14000
951,3BHK,Tenament,Sharing,Girls,Sector 6,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,27000
952,1BHK,Flat,Sharing,Any,Sargasan,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,18000
953,3BHK,Flat,Full,Family,Kudasan,Gandhinagar,,Basic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,35000
954,1BHK,Room,Sharing,Any,Sector 13,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,9000
955,2BHK,Room,Full,Boys,Sector 13,Gandhinagar,,Basic,Yes,Yes,No,Yes,No,Yes,No,Yes,No,13000
956,1BHK,Flat,Full,Boys,Infocity,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,16000
957,2BHK,House,Full,Girls,Sector 5A,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,18000
958,3BHK,Flat,Full,Girls,Sector 13,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,18000
959,3BHK,House,Full,Girls,Sector 3,Gandhinagar,,Semi,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,19000
960,1BHK,House,Full,Boys,Infocity,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,17000
961,1BHK,Room,Sharing,Family,Sector 3,Gandhinagar,,Semi,No,No,No,Yes,No,Yes,Yes,Yes,Yes,10000
962,1BHK,Tenament,Full,Any,Vavol,Gandhinagar,,Fully,No,Yes,No,Yes,No,Yes,Yes,Yes,No,10000
963,3BHK,Flat,Sharing,Girls,Sector 6,Gandhinagar,,Semi,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,26000
964,3BHK,House,Full,Girls,Sector 2,Gandhinagar,,Semi,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,28000
965,1BHK,House,Sharing,Family,Sector 3,Gandhinagar,,Fully,Yes,Yes,No,No,No,Yes,No,Yes,Yes,8000
966,3BHK,House,Full,Boys,Kudasan,Gandhinagar,,Fully,No,No,Yes,No,No,Yes,Yes,Yes,Yes,31000
967,2BHK,Flat,Full,Boys,Kudasan,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,28000
968,2BHK,Room,Full,Family,Sargasan,Gandhinagar,,Basic,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,30000
969,1BHK,Room,Sharing,Any,Sector 5A,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11000
970,3BHK,House,Sharing,Family,Sector 6,Gandhinagar,,Basic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,23000
971,1BHK,Room,Full,Girls,Vavol,Gandhinagar,,Semi,Yes,No,No,No,No,Yes,No,Yes,No,12000
972,3BHK,Room,Full,Family,Infocity,Gandhinagar,,Fully,No,No,No,No,Yes,Yes,No,Yes,No,42000
973,1BHK,House,Sharing,Any,Sargasan,Gandhinagar,,Fully,No,No,No,No,Yes,Yes,Yes,Yes,Yes,15000
974,3BHK,Room,Full,Any,Sargasan,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,35000
975,1BHK,House,Full,Family,Raysan,Gandhinagar,,Semi,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,15000
976,2BHK,House,Full,Girls,Sector 6,Gandhinagar,,Basic,No,No,No,No,No,Yes,Yes,Yes,Yes,19000
977,1BHK,House,Full,Any,Sector 6,Gandhinagar,,Basic,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,13000
978,1BHK,House,Sharing,Boys,Infocity,Gandhinagar,,Semi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19000
979,1BHK,Room,Full,Any,Sector 2,Gandhinagar,,Basic,No,Yes,No,Yes,No,Yes,No,Yes,Yes,11000
980,1BHK,Room,Sharing,Girls,Vavol,Gandhinagar,,Semi,Yes,No,No,No,No,Yes,Yes,Yes,Yes,9000
981,1BHK,Room,Full,Family,Sector 6,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,12000
982,2BHK,House,Full,Girls,Raysan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,23000
983,1BHK,House,Sharing,Family,Kudasan,Gandhinagar,,Basic,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,18000
984,3BHK,Room,Full,Family,Kudasan,Gandhinagar,,Basic,No,No,Yes,Yes,No,Yes,No,Yes,Yes,37000
985,3BHK,Flat,Full,Any,Raysan,Gandhinagar,,Basic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,34000
986,1BHK,Flat,Sharing,Family,Sector 2,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,16000
987,2BHK,Tenament,Full,Any,Sargasan,Gandhinagar,,Fully,Yes,No,No,Yes,Yes,Yes,No,Yes,No,21000
988,3BHK,Tenament,Sharing,Any,Infocity,Gandhinagar,,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,37000
989,3BHK,Tenament,Full,Family,Raysan,Gandhinagar,,Fully,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,27000
990,2BHK,House,Full,Boys,Kudasan,Gandhinagar,,Basic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,26000
991,3BHK,Room,Sharing,Family,Raysan,Gandhinagar,,Fully,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,27000
992,2BHK,House,Full,Girls,Infocity,Gandhinagar,,Basic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,27000
993,3BHK,Tenament,Sharing,Girls,Sargasan,Gandhinagar,,Semi,Yes,No,Yes,No,No,Yes,No,Yes,Yes,31000
994,3BHK,House,Sharing,Any,Sector 2,Gandhinagar,,Fully,Yes,No,Yes,No,Yes,Yes,No,Yes,No,26000
995,3BHK,Tenament,Full,Girls,Infocity,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,No,Yes,No,41000
996,1BHK,Flat,Sharing,Boys,Vavol,Gandhinagar,,Fully,No,Yes,No,No,No,Yes,No,Yes,Yes,10000
997,1BHK,Tenament,Sharing,Family,Sector 5A,Gandhinagar,,Fully,No,No,No,No,No,Yes,Yes,Yes,No,10000
998,2BHK,House,Sharing,Any,Sector 3,Gandhinagar,,Semi,Yes,No,Yes,No,Yes,Yes,No,Yes,No,15000
999,1BHK,Room,Sharing,Girls,Sector 2,Gandhinagar,,Fully,Yes,Yes,No,No,No,Yes,Yes,Yes,No,11000
1000,3BHK,House,Sharing,Boys,Sector 6,Gandhinagar,,Semi,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,30000
1001,1BHK,Flat,Full,Girls,Vavol,Gandhinagar,,Fully,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12000
1002,2BHK,House,Full,Any,Infocity,Gandhinagar,,Semi,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,25000
1003,2BHK,Flat,Full,Girls,Kudasan,Gandhinagar,,Basic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,29000
1004,2BHK,House,Sharing,Girls,Sector 2,Gandhinagar,,Semi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,23000
1005,3BHK,House,Full,Any,Sector 2,Gandhinagar,,Fully,No,Yes,Yes,Yes,No,Yes,No,Yes,No,26000
1006,1BHK,House,Sharing,Family,Raysan,Gandhinagar,,Basic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,13000
1007,1BHK,House,Sharing,Family,Infocity,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,Yes,15000
1008,3BHK,House,Sharing,Any,Vavol,Gandhinagar,,Basic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,18000
1009,1BHK,Flat,Full,Boys,Vavol,Gandhinagar,,Basic,No,Yes,Yes,No,No,Yes,No,Yes,No,11000
1010,1BHK,Tenament,Full,Boys,Infocity,Gandhinagar,,Fully,Yes,Yes,No,No,No,Yes,Yes,Yes,No,18000
